	X_Minimum	X_Maximum	Y_Minimum	Y_Maximum	Pixels_Areas	X_Perimeter	Y_Perimeter	Sum_of_Luminosity	Minimum_of_Luminosity	Maximum_of_Luminosity	Length_of_Conveyer	TypeOfSteel_A300	TypeOfSteel_A400	Steel_Plate_Thickness	Edges_Index	Empty_Index	Square_Index	Outside_X_Index	Edges_X_Index	Edges_Y_Index	Outside_Global_Index	LogOfAreas	Log_X_Index	Log_Y_Index	Orientation_Index	Luminosity_Index	SigmoidOfAreas	Class
67	41	209	1786253	1786320	6662	266	131	685894	41	124	1358	0	1	40	0.0604	0.4081	0.3988	0.1237	0.6316	0.5114	0.0	3.8236	2.2253	1.8261	-0.6012	-0.1956	1.0	3
69	251	260	961360	961371	67	11	11	7550	99	125	1364	1	0	70	0.368	0.3232	0.8182	0.0066	0.8182	1.0	1.0	1.8261	0.9542	1.0414	0.1818	-0.1196	0.2051	6
72	1197	1210	61803	61826	122	30	28	13961	107	127	1394	0	1	120	0.264	0.592	0.5652	0.0093	0.4333	0.8214	1.0	2.0864	1.1139	1.3617	0.4348	-0.106	0.4946	7
73	867	887	681373	681396	236	52	32	28625	112	133	1364	0	1	50	0.6994	0.487	0.8696	0.0147	0.3846	0.7188	1.0	2.3729	1.301	1.3617	0.1304	-0.0524	0.7411	7
74	673	695	890920	890940	290	28	22	26213	43	124	1710	1	0	100	0.7871	0.3409	0.9091	0.0129	0.7857	0.9091	0.0	2.4624	1.3424	1.301	-0.0909	-0.2938	0.7147	6
79	1251	1274	3874199	3874261	994	29	62	68851	15	119	1387	0	1	50	0.1629	0.3029	0.371	0.0166	0.7931	1.0	1.0	2.9974	1.3617	1.7924	0.629	-0.4588	0.9994	1
81	547	588	2084580	2084619	860	57	44	95173	91	132	1708	1	0	100	0.6405	0.4622	0.9512	0.024	0.7193	0.8864	0.0	2.9345	1.6128	1.5911	-0.0488	-0.1354	0.9998	7
84	811	823	3096621	3096632	86	15	11	9203	91	124	1356	1	0	70	0.7861	0.3485	0.9167	0.0088	0.8	1.0	0.0	1.9345	1.0792	1.0414	-0.0833	-0.164	0.2432	7
86	794	806	2294295	2294312	172	14	18	19457	91	134	1360	0	1	40	0.8147	0.1569	0.7059	0.0088	0.8571	0.9444	1.0	2.2355	1.0792	1.2305	0.2941	-0.1162	0.3419	6
87	498	515	31041	31058	231	17	17	21639	33	127	1373	0	1	40	0.7254	0.2007	1.0	0.0124	1.0	1.0	0.5	2.3636	1.2305	1.2305	0.0	-0.2682	0.4779	3
88	1122	1139	2650780	2650795	144	20	16	14169	84	116	1646	1	0	80	0.616	0.4353	0.8824	0.0103	0.85	0.9375	0.0	2.1584	1.2305	1.1761	-0.1177	-0.2313	0.4219	7
90	220	229	3094414	3094424	54	10	10	6091	104	124	1692	0	1	70	0.26	0.4	0.9	0.0053	0.9	1.0	1.0	1.7324	0.9542	1.0	0.1	-0.1188	0.1954	7
91	85	101	2023127	2023150	268	28	25	26356	84	118	1356	1	0	70	0.1254	0.2717	0.6956	0.0118	0.5714	0.92	1.0	2.4281	1.2041	1.3617	0.3043	-0.2317	0.6079	2
93	83	92	2519944	2519955	55	13	12	6782	114	135	1354	1	0	70	0.1226	0.4444	0.8182	0.0066	0.6923	0.9167	1.0	1.7404	0.9542	1.0414	0.1818	-0.0366	0.2051	7
94	158	168	319303	319317	69	14	14	7659	98	125	1358	1	0	70	0.2327	0.5071	0.7143	0.0074	0.7143	1.0	1.0	1.8389	1.0	1.1461	0.2857	-0.1328	0.2532	2
95	13	871	139939	140094	15208	861	501	1741571	22	143	1378	0	1	40	0.0189	0.8856	0.1806	0.6226	0.9965	0.3094	0.0	4.1821	2.9335	2.1903	-0.8194	-0.1053	1.0	3
97	1121	1128	1789332	1789337	17	9	6	2240	115	150	1360	0	1	50	0.3412	0.5143	0.7143	0.0052	0.7778	0.8333	0.0	1.2305	0.8451	0.699	-0.2857	0.0294	0.1441	4
98	979	992	724192	724202	59	15	11	7330	112	141	1360	0	1	175	0.5412	0.5462	0.7692	0.0096	0.8667	0.9091	0.0	1.7708	1.1139	1.0	-0.2308	-0.0294	0.2408	6
99	168	201	983776	983827	694	60	53	77691	94	127	1354	1	0	70	0.2482	0.5876	0.6471	0.0244	0.55	0.9623	1.0	2.8414	1.5185	1.7076	0.3529	-0.1254	0.9999	2
100	1281	1289	212793	212803	56	9	10	5712	89	117	1366	0	1	100	0.1127	0.3	0.8	0.0059	0.8889	1.0	1.0	1.7482	0.9031	1.0	0.2	-0.2031	0.1852	7
101	39	217	1359602	1359742	10276	552	319	1187807	25	141	1400	0	1	40	0.0557	0.5876	0.7865	0.1271	0.3225	0.4389	0.0	4.0118	2.2504	2.1461	-0.2135	-0.097	1.0	3
102	237	262	95111	95180	714	79	78	65282	80	103	1692	0	1	300	0.2801	0.5861	0.3623	0.0148	0.3165	0.8846	1.0	2.8537	1.3979	1.8389	0.6377	-0.2857	0.9999	7
104	374	382	2670756	2670772	102	11	16	11385	95	127	1692	0	1	70	0.4421	0.2031	0.5	0.0047	0.7273	1.0	1.0	2.0086	0.9031	1.2041	0.5	-0.128	0.2384	1
105	127	136	503783	503796	68	13	13	7873	102	134	1354	0	1	40	0.1876	0.4188	0.6923	0.0066	0.6923	1.0	1.0	1.8325	0.9542	1.1139	0.3077	-0.0955	0.2253	7
106	1138	1157	240466	240480	146	25	18	16579	105	127	1356	0	1	40	0.2935	0.4511	0.7368	0.014	0.76	0.7778	0.0	2.1644	1.2787	1.1461	-0.2632	-0.1129	0.4399	7
109	43	215	1253069	1253240	13975	795	441	1630309	29	140	1400	0	1	40	0.0614	0.5249	0.9942	0.1229	0.2164	0.3878	0.0	4.1453	2.2355	2.233	-0.0058	-0.0886	1.0	3
111	1053	1064	701399	701451	352	41	53	39648	92	141	1360	0	1	175	0.4353	0.3846	0.2115	0.0081	0.2683	0.9811	1.0	2.5465	1.0414	1.716	0.7885	-0.12	0.8579	7
112	768	918	370947	370955	660	153	61	89110	113	156	1360	1	0	80	0.65	0.45	0.0533	0.1103	0.9804	0.1312	0.0	2.8195	2.1761	0.9031	-0.9467	0.0548	0.9975	7
115	189	232	712491	712528	561	106	62	75006	120	150	1694	1	0	80	0.2231	0.6474	0.8605	0.0254	0.4057	0.5968	0.0	2.749	1.6335	1.5682	-0.1395	0.0445	0.9998	6
116	1151	1162	866291	866302	85	14	11	10211	111	134	1396	0	1	120	0.3352	0.2975	1.0	0.0079	0.7857	1.0	0.5	1.9294	1.0414	1.0414	0.0	-0.0615	0.23	7
119	39	214	1174946	1175131	13601	805	503	1579135	25	141	1400	0	1	40	0.0557	0.5799	0.9459	0.125	0.2174	0.3678	1.0	4.1336	2.243	2.2672	0.054	-0.0929	1.0	3
120	41	191	1540695	1540855	12260	660	378	1424210	33	141	1402	0	1	40	0.0585	0.4892	0.9375	0.107	0.2273	0.4233	1.0	4.0885	2.1761	2.2041	0.0625	-0.0924	1.0	3
121	1582	1592	1612840	1612870	193	25	30	18218	78	111	1654	1	0	69	0.075	0.3567	0.3333	0.006	0.4	1.0	1.0	2.2856	1.0	1.4771	0.6667	-0.2625	0.4963	6
123	41	185	2460355	2460408	5357	181	90	764	123	134	1402	0	1	40	0.0585	0.2981	0.3681	0.1027	0.7956	0.5889	0.0	3.7289	2.1584	1.7243	-0.6319	-0.9989	1.0	3
125	0	828	468317	468520	20726	1193	709	2499819	25	143	1402	0	1	40	0.0	0.8767	0.2452	0.5906	0.6941	0.2863	0.0	4.3165	2.918	2.3075	-0.7548	-0.0577	1.0	3
126	1166	1185	2258648	2258662	123	33	17	15858	116	143	1708	1	0	100	0.6124	0.5376	0.7368	0.0111	0.5758	0.8235	0.0	2.0899	1.2787	1.1461	-0.2632	0.0072	0.4399	2
127	595	607	140744	140756	100	15	12	11247	85	132	1692	1	0	60	0.7033	0.3056	1.0	0.0071	0.8	1.0	0.5	2.0	1.0792	1.0792	0.0	-0.1213	0.2583	6
128	1162	1174	1895154	1895167	71	21	15	9944	131	151	1364	1	0	120	0.2786	0.5449	0.9231	0.0088	0.5714	0.8667	1.0	1.8513	1.0792	1.1139	0.0769	0.0942	0.2739	7
129	330	343	429227	429253	264	15	26	29748	53	148	1687	0	1	150	0.3912	0.2189	0.5	0.0077	0.8667	1.0	1.0	2.4216	1.1139	1.415	0.5	-0.1197	0.5593	1
130	756	762	1110856	1110861	16	6	5	2015	111	142	1358	0	1	50	0.8778	0.4667	0.8333	0.0044	1.0	1.0	0.0	1.2041	0.7782	0.699	-0.1667	-0.0161	0.14	4
134	1678	1687	1465348	1465360	71	11	12	3944	22	86	1690	1	0	70	0.0036	0.3426	0.75	0.0053	0.8182	1.0	1.0	1.8513	0.9542	1.0792	0.25	-0.566	0.215	6
136	98	192	2013457	2013541	2795	312	171	349157	115	140	1358	0	1	40	0.1443	0.646	0.8936	0.0692	0.3013	0.4912	0.0	3.4464	1.9731	1.9243	-0.1064	-0.024	1.0	3
137	61	67	799291	799301	34	8	10	2588	61	95	1690	1	0	211	0.0722	0.4333	0.6	0.0036	0.75	1.0	1.0	1.5315	0.7782	1.0	0.4	-0.4053	0.1659	6
138	604	608	1322072	1322076	12	4	4	1543	110	140	1358	0	1	50	0.8895	0.25	1.0	0.003	1.0	1.0	0.5	1.0792	0.6021	0.6021	0.0	0.0046	0.1292	4
139	305	313	836762	836771	51	10	9	5779	92	134	1690	1	0	150	0.3609	0.2917	0.8889	0.0047	0.8	1.0	1.0	1.7076	0.9031	0.9542	0.1111	-0.1147	0.1773	6
143	68	103	149046	149092	521	90	54	62926	104	135	1354	1	0	70	0.1004	0.6764	0.7609	0.0258	0.3889	0.8518	1.0	2.7168	1.5441	1.6628	0.2391	-0.0564	0.9998	2
146	115	136	1622697	1622718	169	33	28	19591	105	127	1356	1	0	70	0.1696	0.6168	1.0	0.0155	0.6364	0.75	0.5	2.2279	1.3222	1.3222	0.0	-0.0944	0.7161	2
147	1067	1073	237702	237720	63	17	18	4616	58	93	1694	1	0	211	0.7332	0.4167	0.3333	0.0035	0.3529	1.0	1.0	1.7993	0.7782	1.2553	0.6667	-0.4276	0.215	1
149	1503	1510	893849	893861	66	9	12	6625	87	118	1632	1	0	100	0.1495	0.2143	0.5833	0.0043	0.7778	1.0	1.0	1.8195	0.8451	1.0792	0.4167	-0.2158	0.1892	1
150	1323	1328	1484300	1484326	86	13	26	10024	108	126	1352	0	1	40	0.0355	0.3385	0.1923	0.0037	0.3846	1.0	1.0	1.9345	0.699	1.415	0.8077	-0.0894	0.2408	7
151	540	563	1469856	1469884	373	61	42	42582	107	127	1604	0	1	40	0.6733	0.4208	0.8214	0.0143	0.3771	0.6667	1.0	2.5717	1.3617	1.4472	0.1786	-0.1081	0.9071	7
153	634	655	5303273	5303295	336	30	25	35912	79	127	1362	0	1	40	0.931	0.2727	0.9546	0.0154	0.7	0.88	1.0	2.5263	1.3222	1.3424	0.0454	-0.165	0.7436	6
158	88	120	1785901	1785930	509	73	60	49765	80	116	1358	1	0	70	0.1296	0.4515	0.9063	0.0236	0.4384	0.4833	0.0	2.7067	1.5051	1.4624	-0.0938	-0.2362	0.9848	2
160	559	592	274608	274631	460	52	41	54324	103	134	1694	1	0	80	0.66	0.3939	0.697	0.0195	0.6346	0.561	0.0	2.6628	1.5185	1.3617	-0.303	-0.0774	0.9546	6
163	855	861	237729	237731	6	6	2	775	118	136	1358	0	1	50	0.732	0.5	0.3333	0.0044	1.0	1.0	0.0	0.7782	0.7782	0.301	-0.6667	0.0091	0.1262	4
164	39	208	1402211	1402348	10904	617	334	1261668	28	141	1402	0	1	40	0.0556	0.529	0.8106	0.1205	0.2739	0.4102	0.0	4.0376	2.2279	2.1367	-0.1893	-0.096	1.0	3
166	1084	1096	1635847	1635864	144	16	17	15517	84	134	1694	1	0	60	0.706	0.2941	0.7059	0.0071	0.75	1.0	1.0	2.1584	1.0792	1.2305	0.2941	-0.1582	0.3419	6
167	1126	1135	2829623	2829653	166	23	31	18674	91	132	1692	1	0	60	0.6584	0.3852	0.3	0.0053	0.3913	0.9677	1.0	2.2201	0.9542	1.4771	0.7	-0.1211	0.4465	6
168	369	380	518261	518272	78	24	12	8388	95	119	1356	1	0	70	0.5443	0.3554	1.0	0.0081	0.4583	0.9167	0.5	1.8921	1.0414	1.0414	0.0	-0.1599	0.23	2
169	0	14	971696	971813	949	43	118	76361	59	106	1687	1	0	80	0.0	0.4206	0.1197	0.0083	0.3256	0.9915	1.0	2.9773	1.1461	2.0682	0.8803	-0.3714	0.9999	7
172	15	149	2278497	2278909	37334	908	903	3918209	19	134	1387	0	1	40	0.0216	0.3238	0.3252	0.0966	0.1476	0.4563	1.0	4.5721	2.1271	2.6149	0.6748	-0.1801	1.0	7
173	281	339	2295428	2295433	122	58	13	14877	116	134	1356	0	1	40	0.4144	0.5793	0.0862	0.0428	1.0	0.3846	0.0	2.0864	1.7634	0.699	-0.9138	-0.0473	0.4796	7
174	482	490	11430396	11430416	81	15	20	8709	99	119	1656	1	0	100	0.5821	0.4938	0.4	0.0048	0.5333	1.0	1.0	1.9085	0.9031	1.301	0.6	-0.16	0.2792	1
176	1145	1152	1083340	1083344	22	7	4	2871	116	148	1358	0	1	50	0.3034	0.2143	0.5714	0.0052	1.0	1.0	0.0	1.3424	0.8451	0.6021	-0.4286	0.0195	0.1384	4
179	1254	1259	1333074	1333079	12	5	5	1528	115	141	1358	0	1	50	0.1458	0.52	1.0	0.0037	1.0	1.0	0.5	1.0792	0.699	0.699	0.0	-0.0052	0.1361	4
180	39	212	2233368	2233436	6310	290	151	658162	41	125	1356	0	1	40	0.0575	0.4636	0.3931	0.1276	0.5965	0.4503	0.0	3.8	2.238	1.8325	-0.6069	-0.1851	1.0	3
181	220	234	1285730	1285749	138	28	21	14757	93	118	1358	1	0	70	0.324	0.4812	0.7368	0.0103	0.5	0.9048	1.0	2.1399	1.1461	1.2787	0.2632	-0.1646	0.4399	2
183	959	974	4178002	4178041	313	36	39	35005	68	135	1364	0	1	40	0.5719	0.465	0.3846	0.011	0.4167	1.0	1.0	2.4955	1.1761	1.5911	0.6154	-0.1263	0.8682	1
188	526	676	1470973	1471038	1939	192	116	239860	109	247	1692	1	0	80	0.6217	0.8011	0.4333	0.0887	0.7813	0.5603	0.0	3.2876	2.1761	1.8129	-0.5667	-0.0336	1.0	7
189	512	524	1261077	1261088	74	15	11	8292	93	132	1364	1	0	70	0.7507	0.4394	0.9167	0.0088	0.8	1.0	0.0	1.8692	1.0792	1.0414	-0.0833	-0.1246	0.2432	7
193	691	713	1446060	1446073	143	39	24	15000	93	119	1366	1	0	80	0.9561	0.5	0.5909	0.0161	0.5641	0.5417	0.0	2.1553	1.3424	1.1139	-0.4091	-0.1805	0.4729	6
197	1588	1610	3353146	3353173	408	30	27	37889	57	125	1690	1	0	70	0.0947	0.3131	0.8148	0.013	0.7333	1.0	1.0	2.6107	1.3424	1.4314	0.1852	-0.2745	0.8749	6
199	1324	1335	97132	97213	594	55	81	61608	93	125	1353	0	1	120	0.0266	0.3333	0.1358	0.0081	0.2	1.0	1.0	2.7738	1.0414	1.9085	0.8642	-0.1897	0.9806	5
201	39	215	3003398	3003466	6570	274	141	685255	40	119	1356	0	1	40	0.0575	0.451	0.3864	0.1298	0.6423	0.4823	0.0	3.8176	2.2455	1.8325	-0.6136	-0.1851	1.0	3
203	144	175	340581	340598	287	44	24	34599	112	133	1360	0	1	40	0.2118	0.4554	0.5484	0.0228	0.7046	0.7083	0.0	2.4579	1.4914	1.2305	-0.4516	-0.0582	0.8173	7
207	936	944	597956	597966	50	10	10	5345	93	127	1692	1	0	60	0.8842	0.375	0.8	0.0047	0.8	1.0	1.0	1.699	0.9031	1.0	0.2	-0.1648	0.1852	6
208	61	78	1036126	1036161	265	47	40	26694	86	116	1356	1	0	70	0.09	0.5546	0.4857	0.0125	0.3617	0.875	1.0	2.4232	1.2305	1.5441	0.5143	-0.213	0.8756	2
209	19	28	877413	877428	114	14	15	11442	81	125	1306	0	1	40	0.0291	0.1556	0.6	0.0069	0.6429	1.0	1.0	2.0569	0.9542	1.1761	0.4	-0.2159	0.2469	6
212	1688	1694	247330	247414	359	29	84	19226	30	93	1696	0	1	90	0.0024	0.2877	0.0714	0.0035	0.2069	1.0	1.0	2.5551	0.7782	1.9243	0.9286	-0.5816	0.7933	1
213	159	194	413476	413490	168	53	30	21548	120	143	1362	0	1	100	0.2335	0.6571	0.4	0.0257	0.6604	0.4667	0.0	2.2253	1.5441	1.1461	-0.6	0.0021	0.7776	6
216	434	446	2688956	2688969	119	16	13	13108	81	132	1658	1	0	100	0.5235	0.2372	0.9231	0.0072	0.75	1.0	1.0	2.0756	1.0792	1.1139	0.0769	-0.1394	0.2739	7
221	227	256	1593586	1593597	126	51	36	15951	112	148	1368	1	0	80	0.3319	0.605	0.3793	0.0212	0.5686	0.3056	0.0	2.1004	1.4624	1.0414	-0.6207	-0.011	0.5279	6
222	15	31	991553	991569	151	21	18	16849	104	119	1387	0	1	40	0.0216	0.4102	1.0	0.0115	0.7619	0.8889	0.5	2.179	1.2041	1.2041	0.0	-0.1283	0.4235	7
225	357	378	1090984	1091013	229	53	37	27597	111	134	1372	0	1	40	0.5204	0.624	0.7241	0.0153	0.3962	0.7838	1.0	2.3598	1.3222	1.4624	0.2759	-0.0585	0.8854	7
226	1365	1374	4174907	4174926	115	9	19	9441	44	109	1387	0	1	50	0.0188	0.3275	0.4737	0.0065	1.0	1.0	1.0	2.0607	0.9542	1.2787	0.5263	-0.3586	0.2942	7
228	1015	1034	3982273	3982278	55	22	11	7553	132	143	1374	0	1	40	0.4949	0.4211	0.2632	0.0138	0.8636	0.4545	0.0	1.7404	1.2787	0.699	-0.7368	0.0729	0.2007	7
230	1020	1034	720705	720720	103	24	17	13577	125	142	1372	0	1	40	0.4927	0.5095	0.9333	0.0102	0.5833	0.8824	1.0	2.0128	1.1461	1.1761	0.0667	0.0298	0.3509	7
232	39	214	1992062	1992137	6998	280	143	724819	43	124	1358	0	1	40	0.0574	0.4668	0.4286	0.1289	0.625	0.5245	0.0	3.845	2.243	1.8751	-0.5714	-0.1908	1.0	3
234	1281	1302	4332564	4332815	3214	92	253	368381	33	140	1373	0	1	40	0.1034	0.3902	0.0837	0.0153	0.2283	0.9921	1.0	3.5071	1.3222	2.3997	0.9163	-0.1045	1.0	1
235	39	190	611732	611792	5941	207	117	618605	45	126	1356	0	1	40	0.0575	0.3443	0.3974	0.1114	0.7295	0.5128	0.0	3.7739	2.179	1.7781	-0.6026	-0.1865	1.0	3
236	1324	1333	75642	75681	207	25	39	21354	93	124	1353	0	1	120	0.0296	0.4103	0.2308	0.0066	0.36	1.0	1.0	2.316	0.9542	1.5911	0.7692	-0.1941	0.5805	5
237	154	169	260124	260136	75	27	17	9948	125	143	1364	0	1	40	0.2258	0.5833	0.8	0.011	0.5556	0.7059	0.0	1.8751	1.1761	1.0792	-0.2	0.0362	0.3068	7
238	1152	1161	969900	969911	70	9	11	7846	99	127	1632	1	0	100	0.5772	0.2929	0.8182	0.0055	1.0	1.0	1.0	1.8451	0.9542	1.0414	0.1818	-0.1243	0.2051	1
239	1105	1130	2240686	2240690	57	25	8	5917	92	117	1364	1	0	80	0.3431	0.43	0.16	0.0183	1.0	0.5	0.0	1.7559	1.3979	0.6021	-0.84	-0.189	0.2061	7
242	20	37	1978821	1978842	185	29	24	18517	88	119	1354	1	0	70	0.0295	0.4818	0.8095	0.0126	0.5862	0.875	1.0	2.2672	1.2305	1.3222	0.1905	-0.218	0.5903	2
244	1077	1090	699354	699365	114	15	11	11778	71	132	1690	1	0	70	0.7101	0.2028	0.8461	0.0077	0.8667	1.0	0.0	2.0569	1.1139	1.0414	-0.1539	-0.1928	0.257	6
246	154	166	3755477	3755492	122	13	15	10893	65	111	1364	1	0	200	0.2258	0.3222	0.8	0.0088	0.9231	1.0	1.0	2.0864	1.0792	1.1761	0.2	-0.3025	0.3068	6
248	1603	1613	1995544	1995586	308	25	42	22991	55	94	1656	1	0	80	0.0519	0.2667	0.2381	0.006	0.4	1.0	1.0	2.4885	1.0	1.6233	0.7619	-0.4168	0.6868	7
250	788	796	1060712	1060732	110	13	20	11126	84	116	1630	1	0	100	0.9669	0.3125	0.4	0.0049	0.6154	1.0	1.0	2.0414	0.9031	1.301	0.6	-0.2098	0.2792	1
252	0	8	464503	464538	189	18	35	21380	99	127	1687	0	1	200	0.0	0.325	0.2286	0.0047	0.4444	1.0	1.0	2.2765	0.9031	1.5441	0.7714	-0.1162	0.463	7
255	41	214	1424299	1424367	6404	231	125	660910	38	124	1358	0	1	40	0.0604	0.4556	0.3931	0.1274	0.7489	0.544	0.0	3.8064	2.238	1.8325	-0.6069	-0.1937	1.0	3
256	126	137	31146	31164	119	19	19	22198	179	197	1353	0	1	200	0.1863	0.399	0.6111	0.0081	0.5789	0.9474	1.0	2.0756	1.0414	1.2553	0.3889	0.4573	0.3329	7
257	581	594	55732	55743	108	14	11	11169	77	127	1322	0	1	40	0.879	0.2448	0.8461	0.0098	0.9286	1.0	0.0	2.0334	1.1139	1.0414	-0.1539	-0.1921	0.257	6
261	73	92	1964561	1964591	318	36	33	31789	85	124	1354	1	0	70	0.1078	0.4421	0.6333	0.014	0.5278	0.9091	1.0	2.5024	1.2787	1.4771	0.3667	-0.219	0.8563	2
263	41	202	920427	920489	5993	214	130	589956	132	132	1358	0	1	40	0.0604	0.3996	0.3851	0.1186	0.7523	0.4769	0.0	3.7776	2.2068	1.7924	-0.6149	-0.2309	1.0	3
266	145	159	102099	102111	63	20	15	7752	109	140	1354	1	0	70	0.2142	0.625	0.8571	0.0103	0.7	0.8	0.0	1.7993	1.1461	1.0792	-0.1429	-0.0387	0.2901	2
273	1557	1584	2375780	2375805	339	79	40	39556	104	132	1710	1	0	100	0.1474	0.4978	0.9259	0.0158	0.3418	0.625	0.0	2.5302	1.4314	1.3979	-0.0741	-0.0884	0.9231	7
